Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
8/11/2021,2099,2119.5,2082.55,2116.1,2099.04,346083,19916,726442961,176940,51.13,36.95,17.1
8/10/2021,2084.7,2112.8,2073.55,2088.4,2096.66,415981,20717,872168921,183450,44.1,39.25,3.7
8/9/2021,2076.2,2089.5,2065.8,2077.25,2075.19,236037,17835,489822313,123882,52.48,23.7,1.05
8/6/2021,2125.2,2146,2079.2,2089.05,2097.07,336073,15969,704769100,160745,47.83,66.8,-36.15
8/5/2021,2116.9,2154.6,2104.3,2133.3,2126.89,357064,16820,759437091,119937,33.59,50.3,16.4
8/4/2021,2097.6,2114.1,2087,2103.55,2104.04,297852,10348,626691300,182454,61.26,27.1,5.95
8/11/2021,2099,2119.5,2082.55,2116.1,2099.04,346083,19916,726442961,176940,51.13,36.95,17.1
8/10/2021,2084.7,2112.8,2073.55,2088.4,2096.66,415981,20717,872168921,183450,44.1,39.25,3.7
8/9/2021,2076.2,2089.5,2065.8,2077.25,2075.19,236037,17835,489822313,123882,52.48,23.7,1.05
8/6/2021,2125.2,2146,2079.2,2089.05,2097.07,336073,15969,704769100,160745,47.83,66.8,-36.15
8/5/2021,2116.9,2154.6,2104.3,2133.3,2126.89,357064,16820,759437091,119937,33.59,50.3,16.4
8/4/2021,2097.6,2114.1,2087,2103.55,2104.04,297852,10348,626691300,182454,61.26,27.1,5.95
